,Augmentation,Top1 acc change,Top5 acc change,Top1 acc,Top5 acc,Intensity
0,NONE,0.0,0.0,0.904,0.996,100.00
1,opacity,-0.996,-0.904,0.0,0.0,50.00
2,blur,-0.88,-0.86,0.044,0.116,5.00
3,random_noise,-0.472,-0.5720000000000001,0.332,0.524,0.02
4,overlay_emoji,-0.08799999999999997,-0.136,0.768,0.908,64.00
5,change_aspect_ratio,-0.07999999999999996,-0.14800000000000002,0.756,0.916,30.00
6,rotate,-0.07599999999999996,-0.11199999999999999,0.792,0.92,27.78
7,pixelization,-0.06399999999999995,-0.12,0.784,0.932,70.00
8,vflip,-0.04800000000000004,-0.09599999999999997,0.808,0.948,100.00
9,overlay_stripes,-0.040000000000000036,-0.07200000000000006,0.832,0.956,7.85
10,encoding_quality,-0.03200000000000003,-0.06800000000000006,0.836,0.964,85.00
11,scale,-0.03200000000000003,-0.06000000000000005,0.844,0.964,20.00
12,overlay_text,-0.02400000000000002,-0.020000000000000018,0.884,0.972,25.00
13,meme_format,-0.02400000000000002,-0.04800000000000004,0.856,0.972,40.00
14,perspective_transform,-0.020000000000000018,-0.03600000000000003,0.868,0.976,50.00
15,hflip,-0.008000000000000007,-0.020000000000000018,0.884,0.988,100.00
16,sharpen,-0.0040000000000000036,0.008000000000000007,0.912,0.992,100.00
17,color_jitter,-0.0040000000000000036,-0.03200000000000003,0.872,0.992,16.00
