Augmentation,Top1 acc change,Top5 acc change,Top1 acc,Top5 acc,Intensity
NONE,0.0,0.0,0.872,0.98,100.0
blur,-0.2159999999999999,-0.3119999999999999,0.56,0.764,3.0
overlay_stripes,-0.2159999999999999,-0.376,0.496,0.764,7.85
vflip,-0.1839999999999999,-0.24,0.632,0.796,100.0
overlay_emoji,-0.1839999999999999,-0.256,0.616,0.796,64.0
random_noise,-0.1679999999999999,-0.248,0.624,0.812,0.02
rotate,-0.148,-0.1919999999999999,0.68,0.832,27.78
change_aspect_ratio,-0.1039999999999999,-0.1999999999999999,0.672,0.876,30.0
pixelization,-0.0879999999999999,-0.1959999999999999,0.676,0.892,70.0
meme_format,-0.0839999999999999,-0.124,0.748,0.896,40.0
encoding_quality,-0.0719999999999999,-0.124,0.748,0.908,85.0
perspective_transform,-0.0719999999999999,-0.0879999999999999,0.784,0.908,50.0
overlay_text,-0.0639999999999999,-0.1079999999999999,0.764,0.916,25.0
scale,-0.0519999999999999,-0.12,0.752,0.928,20.0
sharpen,-0.04,-0.0999999999999999,0.772,0.94,100.0
opacity,-0.036,-0.0599999999999999,0.812,0.944,50.0
hflip,-0.028,-0.052,0.82,0.952,100.0
color_jitter,-0.024,-0.0759999999999999,0.796,0.956,16.0
